name,trailer_link,video_id,sentiment_scores,favorability,rating,genre,year,released,votes,director,writer,star,country,budget,gross,company,runtime
Red Eye,https://www.youtube.com/watch?v=1YdzfduyXIA,1YdzfduyXIA,"{'positive': 46, 'neutral': 47, 'negative': 17}",0.7301587301587301,PG-13,Thriller,2005,"August 19, 2005 (United States)",115000.0,Wes Craven,Carl Ellsworth,Rachel McAdams,United States,26000000.0,96258201.0,Dreamworks Pictures,85.0
House of Wax,https://www.youtube.com/watch?v=ezUtqfB24Cg,ezUtqfB24Cg,"{'positive': 104, 'neutral': 83, 'negative': 64}",0.6190476190476191,R,Horror,2005,"May 6, 2005 (United States)",118000.0,Jaume Collet-Serra,Charles Belden,Chad Michael Murray,Australia,40000000.0,68766121.0,Warner Bros.,113.0
Four Brothers,https://www.youtube.com/watch?v=YP6s4xoufzg,YP6s4xoufzg,"{'positive': 64, 'neutral': 167, 'negative': 19}",0.7710843373493976,R,Action,2005,"July 1, 2005 (United States)",138000.0,John Singleton,David Elliot,Mark Wahlberg,United States,45000000.0,92374674.0,Paramount Pictures,109.0
The Dukes of Hazzard,https://www.youtube.com/watch?v=lJzWkSmeMaY,lJzWkSmeMaY,"{'positive': 93, 'neutral': 77, 'negative': 33}",0.7380952380952381,PG-13,Comedy,2005,"August 5, 2005 (United States)",76000.0,Jay Chandrasekhar,Gy Waldron,Seann William Scott,United States,50000000.0,111069515.0,Warner Bros.,104.0
The Interpreter,https://www.youtube.com/watch?v=12AsLh55gQU,12AsLh55gQU,"{'positive': 55, 'neutral': 46, 'negative': 29}",0.6547619047619048,PG-13,Crime,2005,"April 22, 2005 (United States)",101000.0,Sydney Pollack,Martin Stellman,Nicole Kidman,United Kingdom,80000000.0,162944923.0,Universal Pictures,128.0
Walk the Line,https://www.youtube.com/watch?v=pbQ22zWPYbw,pbQ22zWPYbw,"{'positive': 45, 'neutral': 31, 'negative': 13}",0.7758620689655172,PG-13,Biography,2005,"November 18, 2005 (United States)",239000.0,James Mangold,Johnny Cash,Joaquin Phoenix,United States,28000000.0,186797986.0,Fox 2000 Pictures,136.0
Lords of Dogtown,https://www.youtube.com/watch?v=AUjR4G4yNpY,AUjR4G4yNpY,"{'positive': 53, 'neutral': 46, 'negative': 11}",0.828125,PG-13,Biography,2005,"June 3, 2005 (United States)",53000.0,Catherine Hardwicke,Stacy Peralta,Heath Ledger,United States,25000000.0,13411957.0,Columbia Pictures,107.0
Munich,https://www.youtube.com/watch?v=feIjYUEWVxk,feIjYUEWVxk,"{'positive': 62, 'neutral': 81, 'negative': 49}",0.5585585585585585,R,Action,2005,"January 6, 2006 (United States)",216000.0,Steven Spielberg,Tony Kushner,Eric Bana,United States,70000000.0,130982129.0,Dreamworks Pictures,164.0
Kiss Kiss Bang Bang,https://www.youtube.com/watch?v=__PnD1HWXSo,__PnD1HWXSo,"{'positive': 106, 'neutral': 116, 'negative': 28}",0.7910447761194029,R,Comedy,2005,"November 18, 2005 (United States)",219000.0,Shane Black,Brett Halliday,Robert Downey Jr.,United States,15000000.0,15785148.0,Warner Bros.,103.0
The Constant Gardener,https://www.youtube.com/watch?v=1l1lzzfpWFU,1l1lzzfpWFU,"{'positive': 67, 'neutral': 56, 'negative': 34}",0.6633663366336634,R,Drama,2005,"August 31, 2005 (United States)",135000.0,Fernando Meirelles,Jeffrey Caine,Ralph Fiennes,United Kingdom,25000000.0,82468097.0,Focus Features,129.0
The Pacifier,https://www.youtube.com/watch?v=3H-20BCGsek,3H-20BCGsek,"{'positive': 19, 'neutral': 20, 'negative': 5}",0.7916666666666666,PG,Action,2005,"March 4, 2005 (United States)",90000.0,Adam Shankman,Thomas Lennon,Vin Diesel,Canada,56000000.0,198636868.0,Walt Disney Pictures,95.0
A History of Violence,https://www.youtube.com/watch?v=Wi-cPZWWtkY,Wi-cPZWWtkY,"{'positive': 74, 'neutral': 61, 'negative': 40}",0.6491228070175439,R,Drama,2005,"September 30, 2005 (United States)",228000.0,David Cronenberg,John Wagner,Viggo Mortensen,Canada,32000000.0,61385065.0,New Line Cinema,96.0
The Devil's Rejects,https://www.youtube.com/watch?v=f5sIuVd57bE,f5sIuVd57bE,"{'positive': 1, 'neutral': 0, 'negative': 1}",0.5,R,Horror,2005,"July 22, 2005 (United States)",95000.0,Rob Zombie,Rob Zombie,Sid Haig,United States,7000000.0,20901859.0,Lions Gate Films,107.0
Hitch,https://www.youtube.com/watch?v=dMaq_pfxs-0,dMaq_pfxs-0,"{'positive': 74, 'neutral': 147, 'negative': 29}",0.7184466019417476,PG-13,Comedy,2005,"February 11, 2005 (United States)",301000.0,Andy Tennant,Kevin Bisch,Will Smith,United States,70000000.0,371594210.0,Columbia Pictures,118.0
Mirrormask,https://www.youtube.com/watch?v=OAJOWr_HV1s,OAJOWr_HV1s,"{'positive': 4, 'neutral': 6, 'negative': 1}",0.8,PG,Adventure,2005,"March 3, 2006 (United Kingdom)",22000.0,Dave McKean,Neil Gaiman,Stephanie Leonidas,United Kingdom,4000000.0,866999.0,Destination Films,101.0
Rent,https://www.youtube.com/watch?v=KGciEYSshrQ,KGciEYSshrQ,"{'positive': 34, 'neutral': 41, 'negative': 13}",0.723404255319149,PG-13,Drama,2005,"November 23, 2005 (United States)",49000.0,Chris Columbus,Stephen Chbosky,Taye Diggs,United States,40000000.0,31670620.0,Rent Productions LLC,135.0
Robots,https://www.youtube.com/watch?v=5-QlB-CCozc,5-QlB-CCozc,"{'positive': 16, 'neutral': 12, 'negative': 6}",0.7272727272727273,PG,Animation,2005,"March 11, 2005 (United States)",137000.0,Chris Wedge,Ron Mita,Ewan McGregor,United States,75000000.0,262511490.0,Twentieth Century Fox Animation,91.0
Jarhead,https://www.youtube.com/watch?v=-aBP-c28_1M,-aBP-c28_1M,"{'positive': 92, 'neutral': 95, 'negative': 63}",0.5935483870967742,R,Action,2005,"November 4, 2005 (United States)",179000.0,Sam Mendes,William Broyles Jr.,Jake Gyllenhaal,United States,72000000.0,97076152.0,Universal Pictures,125.0
Into the Blue,https://www.youtube.com/watch?v=5uMDUHdN24o,5uMDUHdN24o,"{'positive': 32, 'neutral': 31, 'negative': 11}",0.7441860465116279,PG-13,Action,2005,"September 30, 2005 (United States)",74000.0,John Stockwell,Matt Johnson,Paul Walker,United States,50000000.0,46117696.0,Columbia Pictures,110.0
Saw II,https://www.youtube.com/watch?v=Lq2AzZB6DUE,Lq2AzZB6DUE,"{'positive': 76, 'neutral': 88, 'negative': 31}",0.7102803738317757,R,Horror,2005,"October 28, 2005 (United States)",239000.0,Darren Lynn Bousman,Leigh Whannell,Donnie Wahlberg,Canada,4000000.0,147748505.0,Twisted Pictures,93.0
Revolver,https://www.youtube.com/watch?v=DNXtExBM-KM,DNXtExBM-KM,"{'positive': 0, 'neutral': 1, 'negative': 0}",0.0,R,Action,2005,"September 22, 2005 (United Kingdom)",92000.0,Guy Ritchie,Luc Besson,Jason Statham,France,,7155807.0,EuropaCorp,111.0
Coach Carter,https://www.youtube.com/watch?v=d_GleoanbPE,d_GleoanbPE,"{'positive': 49, 'neutral': 42, 'negative': 15}",0.765625,PG-13,Biography,2005,"January 14, 2005 (United States)",133000.0,Thomas Carter,Mark Schwahn,Samuel L. Jackson,United States,30000000.0,76669554.0,Coach Carter,136.0
Dark Water,https://www.youtube.com/watch?v=RvAOuhyunhY,RvAOuhyunhY,"{'positive': 93, 'neutral': 79, 'negative': 78}",0.543859649122807,PG-13,Drama,2005,"July 8, 2005 (United States)",60000.0,Walter Salles,Kôji Suzuki,Jennifer Connelly,United States,30000000.0,68357079.0,Touchstone Pictures,105.0
Lord of War,https://www.youtube.com/watch?v=AXgyoER0aRc,AXgyoER0aRc,"{'positive': 88, 'neutral': 98, 'negative': 64}",0.5789473684210527,R,Action,2005,"September 16, 2005 (United States)",300000.0,Andrew Niccol,Andrew Niccol,Nicolas Cage,France,50000000.0,72617068.0,Entertainment Manufacturing Company,122.0
Zathura: A Space Adventure,https://www.youtube.com/watch?v=zNxm_obDpNU,zNxm_obDpNU,"{'positive': 114, 'neutral': 102, 'negative': 34}",0.7702702702702703,PG,Action,2005,"November 11, 2005 (United States)",97000.0,Jon Favreau,Chris Van Allsburg,Josh Hutcherson,United States,65000000.0,65079104.0,Columbia Pictures,101.0
The Quiet,https://www.youtube.com/watch?v=TxfF7YQD6nA,TxfF7YQD6nA,"{'positive': 129, 'neutral': 56, 'negative': 65}",0.6649484536082474,R,Crime,2005,"August 25, 2006 (United States)",16000.0,Jamie Babbit,Abdi Nazemian,Camilla Belle,United States,900000.0,381420.0,Andrea Sperling Productions,96.0
The Amityville Horror,https://www.youtube.com/watch?v=j_Lm2PXb3tk,j_Lm2PXb3tk,"{'positive': 58, 'neutral': 65, 'negative': 40}",0.5918367346938775,R,Horror,2005,"April 15, 2005 (United States)",107000.0,Andrew Douglas,Scott Kosar,Ryan Reynolds,United States,19000000.0,107516369.0,Metro-Goldwyn-Mayer (MGM),90.0
Be Cool,https://www.youtube.com/watch?v=VwIpQflIS4A,VwIpQflIS4A,"{'positive': 22, 'neutral': 14, 'negative': 3}",0.88,PG-13,Comedy,2005,"March 4, 2005 (United States)",68000.0,F. Gary Gray,Elmore Leonard,John Travolta,United States,53000000.0,95763716.0,Metro-Goldwyn-Mayer (MGM),118.0
Just Friends,https://www.youtube.com/watch?v=vIBBVzy5UoQ,vIBBVzy5UoQ,"{'positive': 128, 'neutral': 80, 'negative': 42}",0.7529411764705882,PG-13,Comedy,2005,"November 23, 2005 (United States)",109000.0,Roger Kumble,Adam 'Tex' Davis,Ryan Reynolds,Germany,,51024243.0,Inferno Distribution,96.0
"Yours, Mine & Ours",https://www.youtube.com/watch?v=iT4qtGkSvE4,iT4qtGkSvE4,"{'positive': 2, 'neutral': 6, 'negative': 0}",1.0,PG,Comedy,2005,"November 23, 2005 (United States)",27000.0,Raja Gosnell,Ron Burch,Dennis Quaid,United States,45000000.0,72662923.0,Paramount Pictures,88.0
Cinderella Man,https://www.youtube.com/watch?v=nyuri18gwdM,nyuri18gwdM,"{'positive': 29, 'neutral': 22, 'negative': 10}",0.7435897435897436,PG-13,Biography,2005,"June 3, 2005 (United States)",179000.0,Ron Howard,Cliff Hollingsworth,Russell Crowe,United States,88000000.0,108539911.0,Universal Pictures,144.0
The Brothers Grimm,https://www.youtube.com/watch?v=ohxNxVlk2GQ,ohxNxVlk2GQ,"{'positive': 25, 'neutral': 29, 'negative': 18}",0.5813953488372093,PG-13,Action,2005,"August 26, 2005 (United States)",118000.0,Terry Gilliam,Ehren Kruger,Matt Damon,United States,88000000.0,105316267.0,Dimension Films,118.0
Corpse Bride,https://www.youtube.com/watch?v=AGACeWVdFqo,AGACeWVdFqo,"{'positive': 105, 'neutral': 99, 'negative': 46}",0.695364238410596,PG,Animation,2005,"September 23, 2005 (United States)",251000.0,Tim Burton,Tim Burton,Johnny Depp,United States,40000000.0,118090836.0,Warner Bros.,77.0
Transporter 2,https://www.youtube.com/watch?v=_KFOYFBh2QM,_KFOYFBh2QM,"{'positive': 13, 'neutral': 15, 'negative': 4}",0.7647058823529411,R,Action,2005,"September 2, 2005 (United States)",195000.0,Louis Leterrier,Luc Besson,Jason Statham,France,32000000.0,89083229.0,EuropaCorp,87.0
Two for the Money,https://www.youtube.com/watch?v=vcsdAwqZ-WI,vcsdAwqZ-WI,"{'positive': 32, 'neutral': 55, 'negative': 9}",0.7804878048780488,R,Crime,2005,"October 7, 2005 (United States)",44000.0,D.J. Caruso,Dan Gilroy,Matthew McConaughey,United States,35000000.0,30526509.0,Universal Pictures,122.0
The New World,https://www.youtube.com/watch?v=i2LdlqW26zc,i2LdlqW26zc,"{'positive': 110, 'neutral': 100, 'negative': 40}",0.7333333333333333,PG-13,Biography,2005,"January 20, 2006 (United States)",84000.0,Terrence Malick,Terrence Malick,Colin Farrell,United States,30000000.0,49334775.0,New Line Cinema,135.0
Brick,https://www.youtube.com/watch?v=4Zfw8__A7ps,4Zfw8__A7ps,"{'positive': 129, 'neutral': 69, 'negative': 53}",0.7087912087912088,R,Action,2005,"April 14, 2006 (United States)",103000.0,Rian Johnson,Rian Johnson,Joseph Gordon-Levitt,United States,475000.0,3947579.0,Bergman Lustig Productions,110.0
Wolf Creek,https://www.youtube.com/watch?v=8S13W69FQhs,8S13W69FQhs,"{'positive': 98, 'neutral': 82, 'negative': 70}",0.5833333333333334,R,Horror,2005,"December 25, 2005 (United States)",69000.0,Greg McLean,Greg McLean,Nathan Phillips,Australia,1000000.0,30894796.0,Australian Film Finance Corporation (AFFC),99.0
Breakfast on Pluto,https://www.youtube.com/watch?v=5blVrqSKiRc,5blVrqSKiRc,"{'positive': 69, 'neutral': 96, 'negative': 20}",0.7752808988764045,R,Comedy,2005,"January 6, 2006 (United States)",21000.0,Neil Jordan,Neil Jordan,Cillian Murphy,Ireland,,3942254.0,Pathé Pictures International,128.0
The Exorcism of Emily Rose,https://www.youtube.com/watch?v=Bi-PLwxwvy8,Bi-PLwxwvy8,"{'positive': 72, 'neutral': 96, 'negative': 82}",0.4675324675324675,PG-13,Drama,2005,"September 9, 2005 (United States)",122000.0,Scott Derrickson,Paul Harris Boardman,Laura Linney,United States,19000000.0,145166804.0,Screen Gems,119.0
Elektra,https://www.youtube.com/watch?v=XGnADb5e0mc,XGnADb5e0mc,"{'positive': 98, 'neutral': 97, 'negative': 55}",0.6405228758169934,PG-13,Action,2005,"January 14, 2005 (United States)",89000.0,Rob Bowman,Mark Steven Johnson,Jennifer Garner,Canada,43000000.0,56995646.0,Twentieth Century Fox,97.0
Doom,https://www.youtube.com/watch?v=RO90omga8D4,RO90omga8D4,"{'positive': 96, 'neutral': 96, 'negative': 58}",0.6233766233766234,R,Action,2005,"October 21, 2005 (United States)",110000.0,Andrzej Bartkowiak,Dave Callaham,Karl Urban,United Kingdom,60000000.0,58072119.0,John Wells Productions,105.0
The Legend of Zorro,https://www.youtube.com/watch?v=lawMFyG9Kqg,lawMFyG9Kqg,"{'positive': 2, 'neutral': 5, 'negative': 2}",0.5,PG,Action,2005,"October 28, 2005 (United States)",95000.0,Martin Campbell,Roberto Orci,Antonio Banderas,United States,75000000.0,142400065.0,Columbia Pictures,129.0
Cheaper by the Dozen 2,https://www.youtube.com/watch?v=F79BR4YGBUM,F79BR4YGBUM,"{'positive': 8, 'neutral': 3, 'negative': 5}",0.6153846153846154,PG,Adventure,2005,"December 21, 2005 (United States)",56000.0,Adam Shankman,Sam Harper,Steve Martin,United States,60000000.0,130154568.0,Twentieth Century Fox,94.0
Æon Flux,https://www.youtube.com/watch?v=HNjyVjoDyQo,HNjyVjoDyQo,"{'positive': 25, 'neutral': 21, 'negative': 14}",0.6410256410256411,PG-13,Action,2005,"December 2, 2005 (United States)",125000.0,Karyn Kusama,Phil Hay,Charlize Theron,United States,62000000.0,53321673.0,Paramount Pictures,93.0
Son of the Mask,https://www.youtube.com/watch?v=q4HyI0i1mPM,q4HyI0i1mPM,"{'positive': 42, 'neutral': 26, 'negative': 30}",0.5833333333333334,PG,Comedy,2005,"February 18, 2005 (United States)",53000.0,Lawrence Guterman,Lance Khazei,Jamie Kennedy,United States,84000000.0,59981548.0,New Line Cinema,94.0
The Producers,https://www.youtube.com/watch?v=u36iNj52rac,u36iNj52rac,"{'positive': 34, 'neutral': 33, 'negative': 14}",0.7083333333333334,PG-13,Comedy,2005,"December 25, 2005 (United States)",42000.0,Susan Stroman,Mel Brooks,Nathan Lane,United States,45000000.0,38075318.0,Universal Pictures,134.0
The Ringer,https://www.youtube.com/watch?v=cx8ZWK0rUWA,cx8ZWK0rUWA,"{'positive': 12, 'neutral': 20, 'negative': 8}",0.6,PG-13,Comedy,2005,"December 23, 2005 (United States)",36000.0,Barry W. Blaustein,Ricky Blitt,Johnny Knoxville,United States,,40442443.0,Conundrum Entertainment,94.0
The Cave,https://www.youtube.com/watch?v=QP4DsyaB1eE,QP4DsyaB1eE,"{'positive': 72, 'neutral': 71, 'negative': 34}",0.6792452830188679,PG-13,Action,2005,"August 26, 2005 (United States)",36000.0,Bruce Hunt,Michael Steinberg,Piper Perabo,United States,30000000.0,33296457.0,Screen Gems,97.0
Broken Flowers,https://www.youtube.com/watch?v=c_TB7MkrGyc,c_TB7MkrGyc,"{'positive': 33, 'neutral': 27, 'negative': 12}",0.7333333333333333,R,Comedy,2005,"August 26, 2005 (United States)",100000.0,Jim Jarmusch,Jim Jarmusch,Bill Murray,France,10000000.0,47329961.0,Focus Features,106.0
Fun with Dick and Jane,https://www.youtube.com/watch?v=LvOv3veA13Q,LvOv3veA13Q,"{'positive': 82, 'neutral': 77, 'negative': 33}",0.7130434782608696,PG-13,Comedy,2005,"December 21, 2005 (United States)",139000.0,Dean Parisot,Judd Apatow,Jim Carrey,United States,100000000.0,204681899.0,Columbia Pictures,90.0
Imagine Me & You,https://www.youtube.com/watch?v=X-EEMiSmnNw,X-EEMiSmnNw,"{'positive': 81, 'neutral': 45, 'negative': 21}",0.7941176470588235,R,Comedy,2005,"May 25, 2006 (Germany)",31000.0,Ol Parker,Ol Parker,Piper Perabo,United Kingdom,7900000.0,2635305.0,BBC Films,90.0
The Family Stone,https://www.youtube.com/watch?v=ps8DhuMfScQ,ps8DhuMfScQ,"{'positive': 48, 'neutral': 24, 'negative': 42}",0.5333333333333333,PG-13,Comedy,2005,"December 16, 2005 (United States)",63000.0,Thomas Bezucha,Thomas Bezucha,Dermot Mulroney,United States,18000000.0,92884429.0,The Family Stone,103.0
